instance,n_customers,placement_seed,coverage,coverage_pct,pair_rank_within_coverage,node_i,node_j
tc0c10s2cf1.xml,10,20240528,0.1,10%,1,2,5
tc0c10s2cf1.xml,10,20240528,0.1,10%,2,2,7
tc0c10s2cf1.xml,10,20240528,0.1,10%,3,3,10
tc0c10s2cf1.xml,10,20240528,0.1,10%,4,4,9
tc0c10s2cf1.xml,10,20240528,0.2,20%,1,2,5
tc0c10s2cf1.xml,10,20240528,0.2,20%,2,2,7
tc0c10s2cf1.xml,10,20240528,0.2,20%,3,3,10
tc0c10s2cf1.xml,10,20240528,0.2,20%,4,4,9
tc0c10s2cf1.xml,10,20240528,0.2,20%,5,8,9
tc0c10s2cf1.xml,10,20240528,0.2,20%,6,6,10
tc0c10s2cf1.xml,10,20240528,0.2,20%,7,4,7
tc0c10s2cf1.xml,10,20240528,0.2,20%,8,4,6
tc0c10s2cf1.xml,10,20240528,0.2,20%,9,1,3
tc0c10s2cf1.xml,10,20240528,0.3,30%,1,2,5
tc0c10s2cf1.xml,10,20240528,0.3,30%,2,2,7
tc0c10s2cf1.xml,10,20240528,0.3,30%,3,3,10
tc0c10s2cf1.xml,10,20240528,0.3,30%,4,4,9
tc0c10s2cf1.xml,10,20240528,0.3,30%,5,8,9
tc0c10s2cf1.xml,10,20240528,0.3,30%,6,6,10
tc0c10s2cf1.xml,10,20240528,0.3,30%,7,4,7
tc0c10s2cf1.xml,10,20240528,0.3,30%,8,4,6
tc0c10s2cf1.xml,10,20240528,0.3,30%,9,1,3
tc0c10s2cf1.xml,10,20240528,0.3,30%,10,3,4
tc0c10s2cf1.xml,10,20240528,0.3,30%,11,3,6
tc0c10s2cf1.xml,10,20240528,0.3,30%,12,6,8
tc0c10s2cf1.xml,10,20240528,0.3,30%,13,2,4
tc0c10s2cf1.xml,10,20240529,0.1,10%,1,5,7
tc0c10s2cf1.xml,10,20240529,0.1,10%,2,1,5
tc0c10s2cf1.xml,10,20240529,0.1,10%,3,5,6
tc0c10s2cf1.xml,10,20240529,0.1,10%,4,1,6
tc0c10s2cf1.xml,10,20240529,0.2,20%,1,5,7
tc0c10s2cf1.xml,10,20240529,0.2,20%,2,1,5
tc0c10s2cf1.xml,10,20240529,0.2,20%,3,5,6
tc0c10s2cf1.xml,10,20240529,0.2,20%,4,1,6
tc0c10s2cf1.xml,10,20240529,0.2,20%,5,3,6
tc0c10s2cf1.xml,10,20240529,0.2,20%,6,2,10
tc0c10s2cf1.xml,10,20240529,0.2,20%,7,7,9
tc0c10s2cf1.xml,10,20240529,0.2,20%,8,1,7
tc0c10s2cf1.xml,10,20240529,0.2,20%,9,4,7
tc0c10s2cf1.xml,10,20240529,0.3,30%,1,5,7
tc0c10s2cf1.xml,10,20240529,0.3,30%,2,1,5
tc0c10s2cf1.xml,10,20240529,0.3,30%,3,5,6
tc0c10s2cf1.xml,10,20240529,0.3,30%,4,1,6
tc0c10s2cf1.xml,10,20240529,0.3,30%,5,3,6
tc0c10s2cf1.xml,10,20240529,0.3,30%,6,2,10
tc0c10s2cf1.xml,10,20240529,0.3,30%,7,7,9
tc0c10s2cf1.xml,10,20240529,0.3,30%,8,1,7
tc0c10s2cf1.xml,10,20240529,0.3,30%,9,4,7
tc0c10s2cf1.xml,10,20240529,0.3,30%,10,6,7
tc0c10s2cf1.xml,10,20240529,0.3,30%,11,1,8
tc0c10s2cf1.xml,10,20240529,0.3,30%,12,9,10
tc0c10s2cf1.xml,10,20240529,0.3,30%,13,1,2
tc0c10s2cf1.xml,10,20240530,0.1,10%,1,1,10
tc0c10s2cf1.xml,10,20240530,0.1,10%,2,2,8
tc0c10s2cf1.xml,10,20240530,0.1,10%,3,5,7
tc0c10s2cf1.xml,10,20240530,0.1,10%,4,3,5
tc0c10s2cf1.xml,10,20240530,0.2,20%,1,1,10
tc0c10s2cf1.xml,10,20240530,0.2,20%,2,2,8
tc0c10s2cf1.xml,10,20240530,0.2,20%,3,5,7
tc0c10s2cf1.xml,10,20240530,0.2,20%,4,3,5
tc0c10s2cf1.xml,10,20240530,0.2,20%,5,8,9
tc0c10s2cf1.xml,10,20240530,0.2,20%,6,4,6
tc0c10s2cf1.xml,10,20240530,0.2,20%,7,9,10
tc0c10s2cf1.xml,10,20240530,0.2,20%,8,2,5
tc0c10s2cf1.xml,10,20240530,0.2,20%,9,7,10
tc0c10s2cf1.xml,10,20240530,0.3,30%,1,1,10
tc0c10s2cf1.xml,10,20240530,0.3,30%,2,2,8
tc0c10s2cf1.xml,10,20240530,0.3,30%,3,5,7
tc0c10s2cf1.xml,10,20240530,0.3,30%,4,3,5
tc0c10s2cf1.xml,10,20240530,0.3,30%,5,8,9
tc0c10s2cf1.xml,10,20240530,0.3,30%,6,4,6
tc0c10s2cf1.xml,10,20240530,0.3,30%,7,9,10
tc0c10s2cf1.xml,10,20240530,0.3,30%,8,2,5
tc0c10s2cf1.xml,10,20240530,0.3,30%,9,7,10
tc0c10s2cf1.xml,10,20240530,0.3,30%,10,4,5
tc0c10s2cf1.xml,10,20240530,0.3,30%,11,1,7
tc0c10s2cf1.xml,10,20240530,0.3,30%,12,1,4
tc0c10s2cf1.xml,10,20240530,0.3,30%,13,6,9
tc0c10s2cf1.xml,10,20240531,0.1,10%,1,7,9
tc0c10s2cf1.xml,10,20240531,0.1,10%,2,3,10
tc0c10s2cf1.xml,10,20240531,0.1,10%,3,2,10
tc0c10s2cf1.xml,10,20240531,0.1,10%,4,4,8
tc0c10s2cf1.xml,10,20240531,0.2,20%,1,7,9
tc0c10s2cf1.xml,10,20240531,0.2,20%,2,3,10
tc0c10s2cf1.xml,10,20240531,0.2,20%,3,2,10
tc0c10s2cf1.xml,10,20240531,0.2,20%,4,4,8
tc0c10s2cf1.xml,10,20240531,0.2,20%,5,3,8
tc0c10s2cf1.xml,10,20240531,0.2,20%,6,4,10
tc0c10s2cf1.xml,10,20240531,0.2,20%,7,1,6
tc0c10s2cf1.xml,10,20240531,0.2,20%,8,6,8
tc0c10s2cf1.xml,10,20240531,0.2,20%,9,1,8
tc0c10s2cf1.xml,10,20240531,0.3,30%,1,7,9
tc0c10s2cf1.xml,10,20240531,0.3,30%,2,3,10
tc0c10s2cf1.xml,10,20240531,0.3,30%,3,2,10
tc0c10s2cf1.xml,10,20240531,0.3,30%,4,4,8
tc0c10s2cf1.xml,10,20240531,0.3,30%,5,3,8
tc0c10s2cf1.xml,10,20240531,0.3,30%,6,4,10
tc0c10s2cf1.xml,10,20240531,0.3,30%,7,1,6
tc0c10s2cf1.xml,10,20240531,0.3,30%,8,6,8
tc0c10s2cf1.xml,10,20240531,0.3,30%,9,1,8
tc0c10s2cf1.xml,10,20240531,0.3,30%,10,8,9
tc0c10s2cf1.xml,10,20240531,0.3,30%,11,1,7
tc0c10s2cf1.xml,10,20240531,0.3,30%,12,3,9
tc0c10s2cf1.xml,10,20240531,0.3,30%,13,5,7
tc0c10s2cf1.xml,10,20240532,0.1,10%,1,3,9
tc0c10s2cf1.xml,10,20240532,0.1,10%,2,5,9
tc0c10s2cf1.xml,10,20240532,0.1,10%,3,7,9
tc0c10s2cf1.xml,10,20240532,0.1,10%,4,2,5
tc0c10s2cf1.xml,10,20240532,0.2,20%,1,3,9
tc0c10s2cf1.xml,10,20240532,0.2,20%,2,5,9
tc0c10s2cf1.xml,10,20240532,0.2,20%,3,7,9
tc0c10s2cf1.xml,10,20240532,0.2,20%,4,2,5
tc0c10s2cf1.xml,10,20240532,0.2,20%,5,1,8
tc0c10s2cf1.xml,10,20240532,0.2,20%,6,4,10
tc0c10s2cf1.xml,10,20240532,0.2,20%,7,2,7
tc0c10s2cf1.xml,10,20240532,0.2,20%,8,4,7
tc0c10s2cf1.xml,10,20240532,0.2,20%,9,1,3
tc0c10s2cf1.xml,10,20240532,0.3,30%,1,3,9
tc0c10s2cf1.xml,10,20240532,0.3,30%,2,5,9
tc0c10s2cf1.xml,10,20240532,0.3,30%,3,7,9
tc0c10s2cf1.xml,10,20240532,0.3,30%,4,2,5
tc0c10s2cf1.xml,10,20240532,0.3,30%,5,1,8
tc0c10s2cf1.xml,10,20240532,0.3,30%,6,4,10
tc0c10s2cf1.xml,10,20240532,0.3,30%,7,2,7
tc0c10s2cf1.xml,10,20240532,0.3,30%,8,4,7
tc0c10s2cf1.xml,10,20240532,0.3,30%,9,1,3
tc0c10s2cf1.xml,10,20240532,0.3,30%,10,6,9
tc0c10s2cf1.xml,10,20240532,0.3,30%,11,8,9
tc0c10s2cf1.xml,10,20240532,0.3,30%,12,5,10
tc0c10s2cf1.xml,10,20240532,0.3,30%,13,1,5
tc0c10s2ct1.xml,10,20240528,0.1,10%,1,3,7
tc0c10s2ct1.xml,10,20240528,0.1,10%,2,1,4
tc0c10s2ct1.xml,10,20240528,0.1,10%,3,8,10
tc0c10s2ct1.xml,10,20240528,0.1,10%,4,1,3
tc0c10s2ct1.xml,10,20240528,0.2,20%,1,3,7
tc0c10s2ct1.xml,10,20240528,0.2,20%,2,1,4
tc0c10s2ct1.xml,10,20240528,0.2,20%,3,8,10
tc0c10s2ct1.xml,10,20240528,0.2,20%,4,1,3
tc0c10s2ct1.xml,10,20240528,0.2,20%,5,6,9
tc0c10s2ct1.xml,10,20240528,0.2,20%,6,2,4
tc0c10s2ct1.xml,10,20240528,0.2,20%,7,1,6
