instance,n_customers,coverage,coverage_pct,omega,placement_seed,solver_seed,base_tabu_tenure,max_iter,shake_tenure,shake_iter,shake_steps,opt_iter,phi,use_candidate_lists,use_extended_operators,best_cost,vehicles,iterations_done,moves_generated,moves_evaluated,moves_skipped_validity,moves_skipped_tabu,shakes,solver_time_sec,candidate_pairs,selected_arcs,applied_arcs,total_reduction,frvcp_calls,frvcp_total_time_sec,frvcp_avg_time_ms,error,experiment,ablation
tc0c10s2cf1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.691271934249688,2,100,40558,17515,23043,597,4,2.2430191040039062,45,26,26,157303.26219844652,3365,0.5208183554350398,0.15477514277415746,,ablation_frvcp,baseline
tc0c10s2cf1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,10.691271934249688,2,100,40522,17310,23212,473,0,2.13486909866333,45,26,26,157303.26219844652,2964,0.4605773568036966,0.1553904712563079,,ablation_frvcp,no_shaking
tc0c10s2cf1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,10.691271934249688,2,100,12016,3871,8145,45,4,0.6627399921417236,45,26,26,157303.26219844652,1361,0.2116439930978231,0.1555062403363873,,ablation_frvcp,no_extended_operators
tc0c10s2ct1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.54118806823345,2,100,40269,13281,26988,587,4,2.34814190864563,45,26,26,225479.9912444354,3067,0.5433870271663181,0.1771721640581409,,ablation_frvcp,baseline
tc0c10s2ct1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,11.54118806823345,2,100,40250,13249,27001,259,0,2.0979440212249756,45,26,26,225479.9912444354,2331,0.41105259233154356,0.17634173845197063,,ablation_frvcp,no_shaking
tc0c10s2ct1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,11.54118806823345,2,100,11684,3936,7748,209,4,1.117211103439331,45,26,26,225479.9912444354,2176,0.3906328665907495,0.17951878060236648,,ablation_frvcp,no_extended_operators
tc0c10s3cf1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.362785815564438,2,100,40312,16056,24256,405,4,2.410654306411743,45,26,26,163252.06872012973,3695,0.654198783216998,0.1770497383537207,,ablation_frvcp,baseline
tc0c10s3cf1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,11.362785815564438,2,100,40244,16014,24230,276,0,2.194520950317383,45,26,26,163252.06872012973,3068,0.5275328965508379,0.1719468372069224,,ablation_frvcp,no_shaking
tc0c10s3cf1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,11.491212363376887,2,100,11624,3826,7798,68,4,1.1722650527954102,45,26,26,163252.06872012973,2338,0.3954518656828441,0.16914108882927462,,ablation_frvcp,no_extended_operators
tc0c10s3ct1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.62323649841983,2,100,39756,13158,26598,495,4,2.5136938095092773,45,26,26,196936.86239195938,3316,0.6834386127302423,0.2061033210887341,,ablation_frvcp,baseline
tc0c10s3ct1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,10.62323649841983,2,100,40392,19026,21366,64,0,2.047002077102661,45,26,26,196936.86239195938,2089,0.4205355974845588,0.2013095248849013,,ablation_frvcp,no_shaking
tc0c10s3ct1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,10.62323649841983,2,100,11490,4559,6931,119,4,0.8712787628173828,45,26,26,196936.86239195938,1714,0.34959821769734845,0.20396628803812628,,ablation_frvcp,no_extended_operators
tc1c10s2cf2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.892121336602498,3,100,41064,24659,16405,826,4,2.9829540252685547,45,26,26,165004.1757010444,4057,0.7222928415285423,0.17803619460895792,,ablation_frvcp,baseline
tc1c10s2cf2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,8.892121336602498,3,100,41026,24526,16500,398,0,2.6010019779205322,45,26,26,165004.1757010444,2963,0.5204993518418632,0.17566633541743612,,ablation_frvcp,no_shaking
tc1c10s2cf2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,8.892121336602498,3,100,9896,6515,3381,119,4,1.1389601230621338,45,26,26,165004.1757010444,2522,0.4348349223146215,0.17241670194870004,,ablation_frvcp,no_extended_operators
tc1c10s2cf3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.913337503662763,2,100,40223,18334,21889,376,4,2.1537258625030518,45,26,26,192233.73670110834,2375,0.4992915292386897,0.21022801231102725,,ablation_frvcp,baseline
tc1c10s2cf3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,12.913337503662763,2,100,40200,18291,21909,152,0,1.852579116821289,45,26,26,192233.73670110834,1556,0.32351136073702946,0.20791218556364363,,ablation_frvcp,no_shaking
tc1c10s2cf3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,12.913337503662763,2,100,11600,3400,8200,0,5,0.5501670837402344,45,26,26,192233.73670110834,838,0.1672161094029434,0.19954189666222363,,ablation_frvcp,no_extended_operators
tc1c10s2cf4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,13.977532053156851,2,100,40261,12875,27386,108,4,2.6723971366882324,45,26,26,267547.12070698023,3271,0.6323384977295063,0.19331656916218476,,ablation_frvcp,baseline
tc1c10s2cf4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,13.977532053156851,2,100,40261,12875,27386,108,0,2.434957981109619,45,26,26,267547.12070698023,2573,0.505555757728871,0.1964849427628725,,ablation_frvcp,no_shaking
tc1c10s2cf4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,13.846667744148288,2,100,14234,6008,8226,112,4,0.9009761810302734,45,26,26,267547.12070698023,1443,0.30018837755778804,0.2080307536783008,,ablation_frvcp,no_extended_operators
tc1c10s2ct2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,9.022668713741167,3,100,41049,24464,16585,690,4,3.5373282432556152,45,26,22,144553.38392452782,4749,1.1514931116253138,0.24247064889983444,,ablation_frvcp,baseline
tc1c10s2ct2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,9.022668713741167,3,100,41011,24353,16658,314,0,2.9265260696411133,45,26,22,144553.38392452782,3298,0.7682982782716863,0.23295884726248828,,ablation_frvcp,no_shaking
tc1c10s2ct2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,9.022668713741167,3,100,9878,6444,3434,124,4,1.201805830001831,45,26,22,144553.38392452782,2311,0.5348237867001444,0.23142526469067262,,ablation_frvcp,no_extended_operators
tc1c10s2ct3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.815316456247636,2,100,39612,18670,20942,87,4,1.9731619358062744,45,26,26,163228.62831612796,2189,0.42026020569028333,0.19198730273653877,,ablation_frvcp,baseline
tc1c10s2ct3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,11.815316456247636,2,100,39612,18670,20942,87,0,1.9720571041107178,45,26,26,163228.62831612796,2189,0.42025938601000234,0.19198692828232175,,ablation_frvcp,no_shaking
tc1c10s2ct3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,11.815316456247636,2,100,10464,2881,7583,60,5,0.6539039611816406,45,26,26,163228.62831612796,1163,0.23276029952103272,0.20013783277818806,,ablation_frvcp,no_extended_operators
tc1c10s2ct4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.574052740873855,2,100,40121,12840,27281,382,4,1.7345731258392334,45,26,24,191530.0241846431,1673,0.30350118747446686,0.18141134935712305,,ablation_frvcp,baseline
tc1c10s2ct4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,11.574052740873855,2,100,40202,13384,26818,70,0,1.632133960723877,45,26,24,191530.0241846431,1376,0.24946167168673128,0.18129481953977564,,ablation_frvcp,no_shaking
tc1c10s2ct4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,11.799213528280275,2,100,10476,3066,7410,60,5,0.6224758625030518,45,26,24,191530.0241846431,1139,0.20589756686240435,0.1807704713453945,,ablation_frvcp,no_extended_operators
tc1c10s3cf2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.88918196986262,2,100,38689,20459,18230,769,4,3.0321552753448486,45,26,24,161323.35521579447,4672,0.9208432088489644,0.19709828956527492,,ablation_frvcp,baseline
tc1c10s3cf2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,8.88918196986262,2,100,38626,20291,18335,393,0,2.5688979625701904,45,26,24,161323.35521579447,3357,0.6758785848505795,0.20133410332159055,,ablation_frvcp,no_shaking
tc1c10s3cf2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,8.889181969862621,2,100,8590,4552,4038,141,4,1.0946781635284424,45,26,24,161323.35521579447,2484,0.4670346833881922,0.18801718332857978,,ablation_frvcp,no_extended_operators
tc1c10s3cf3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.99738986253432,2,100,40269,18142,22127,491,4,2.458293914794922,45,26,24,136585.98005370438,2636,0.6704872366972268,0.2543578287925746,,ablation_frvcp,baseline
tc1c10s3cf3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,1000000000,20,1,0,0.9,False,True,12.99738986253432,2,100,40246,18094,22152,267,0,2.1382410526275635,45,26,24,136585.98005370438,1890,0.477279823506251,0.25252900714616455,,ablation_frvcp,no_shaking
tc1c10s3cf3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,False,13.060952130355938,2,100,11600,3300,8300,0,5,0.7173178195953369,45,26,24,136585.98005370438,1017,0.2476853291154839,0.24354506304374032,,ablation_frvcp,no_extended_operators
