instance,n_customers,coverage,coverage_pct,omega,placement_seed,solver_seed,base_tabu_tenure,max_iter,shake_tenure,shake_iter,shake_steps,opt_iter,phi,use_candidate_lists,use_extended_operators,best_cost,vehicles,iterations_done,moves_generated,moves_evaluated,moves_skipped_validity,moves_skipped_tabu,shakes,solver_time_sec,candidate_pairs,selected_arcs,applied_arcs,total_reduction,frvcp_calls,frvcp_total_time_sec,frvcp_avg_time_ms,error,experiment
tc0c10s2cf1.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,15.425821629510388,3,100,41908,23639,18269,384,4,2.776525020599365,45,8,8,33940.029464244064,,,,,multiseed_replication
tc0c10s2cf1.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.815924497063188,2,100,40291,19591,20700,391,4,2.374377965927124,45,18,18,93444.24879112,,,,,multiseed_replication
tc0c10s2cf1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.691271934249688,2,100,40558,17515,23043,597,4,2.237191200256348,45,26,26,157303.26219844652,,,,,multiseed_replication
tc0c10s2ct1.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.988223830537365,2,100,40451,19328,21123,319,4,2.5218069553375244,45,8,8,62205.36694792866,,,,,multiseed_replication
tc0c10s2ct1.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.54118806823345,2,100,40223,13156,27067,391,4,2.6588950157165527,45,18,18,143529.87591608838,,,,,multiseed_replication
tc0c10s2ct1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.54118806823345,2,100,40269,13281,26988,587,4,2.324913024902344,45,26,26,225479.9912444354,,,,,multiseed_replication
tc0c10s3cf1.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,19.605667208997254,3,100,42082,29749,12333,156,4,2.755445003509521,45,8,8,55338.82118331306,,,,,multiseed_replication
tc0c10s3cf1.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.362785815564438,2,100,40337,16422,23915,360,4,2.532124757766724,45,18,18,121583.74063999168,,,,,multiseed_replication
tc0c10s3cf1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.362785815564438,2,100,40312,16056,24256,405,4,2.403096914291382,45,26,26,163252.06872012973,,,,,multiseed_replication
tc0c10s3ct1.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.678740302306307,2,100,40426,19112,21314,588,4,2.59325909614563,45,8,8,64297.17765113293,,,,,multiseed_replication
tc0c10s3ct1.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.62323649841983,2,100,40422,18988,21434,654,4,2.6626908779144287,45,18,18,148480.90135329482,,,,,multiseed_replication
tc0c10s3ct1.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.62323649841983,2,100,39756,13158,26598,495,4,2.514176845550537,45,26,26,196936.8623919593,,,,,multiseed_replication
tc1c10s2cf2.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.892121336602498,3,100,41064,24645,16419,640,4,3.331707000732422,45,8,8,67680.77982146048,,,,,multiseed_replication
tc1c10s2cf2.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.892121336602498,3,100,41039,24611,16428,774,4,2.9222159385681152,45,18,18,129824.6266688324,,,,,multiseed_replication
tc1c10s2cf2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.892121336602498,3,100,41064,24659,16405,826,4,2.95581316947937,45,26,26,165004.1757010444,,,,,multiseed_replication
tc1c10s2cf3.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.913337503662763,2,100,40278,18522,21756,213,4,2.146282911300659,45,8,8,38361.131783186174,,,,,multiseed_replication
tc1c10s2cf3.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.913337503662763,2,100,40223,18334,21889,376,4,2.121978044509888,45,18,18,105148.38123697536,,,,,multiseed_replication
tc1c10s2cf3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.913337503662763,2,100,40223,18334,21889,376,4,2.127396821975708,45,26,26,192233.7367011084,,,,,multiseed_replication
tc1c10s2cf4.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,14.660131410197232,3,100,42468,23471,18997,713,4,2.7987780570983887,45,8,8,73812.19487991059,,,,,multiseed_replication
tc1c10s2cf4.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,14.660131410197232,3,100,42480,23474,19006,770,4,2.793316125869751,45,18,18,206181.9944550889,,,,,multiseed_replication
tc1c10s2cf4.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,13.977532053156851,2,100,40261,12875,27386,108,4,2.66931414604187,45,26,26,267547.12070698023,,,,,multiseed_replication
tc1c10s2ct2.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,9.028678972620256,3,100,41064,24541,16523,529,4,3.479094982147217,45,8,8,57490.2272958238,,,,,multiseed_replication
tc1c10s2ct2.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,9.028678972620256,3,100,41061,24540,16521,494,4,3.6662330627441406,45,18,16,104523.3323311669,,,,,multiseed_replication
tc1c10s2ct2.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,9.022668713741169,3,100,41049,24464,16585,690,4,3.4885599613189697,45,26,22,144553.38392452782,,,,,multiseed_replication
tc1c10s2ct3.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.114275274157585,2,100,40223,18338,21885,342,4,1.988110303878784,45,8,8,25708.557637968108,,,,,multiseed_replication
tc1c10s2ct3.xml,10,0.2,20%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.815316456247636,2,100,39612,18682,20930,80,4,1.665238857269287,45,18,18,112773.77133913225,,,,,multiseed_replication
tc1c10s2ct3.xml,10,0.3,30%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.815316456247636,2,100,39612,18670,20942,87,4,1.9806230068206787,45,26,26,163228.62831612796,,,,,multiseed_replication
tc1c10s2ct4.xml,10,0.1,10%,0.9,20240528,20240528,5,100,20,20,1,0,0.9,False,True,11.835818172185498,2,100,40284,13742,26542,189,4,1.9651618003845213,45,8,8,63155.16621539975,,,,,multiseed_replication
