instance,n_customers,coverage,coverage_pct,omega,placement_seed,solver_seed,base_tabu_tenure,max_iter,shake_tenure,shake_iter,shake_steps,opt_iter,phi,use_candidate_lists,use_extended_operators,best_cost,vehicles,iterations_done,moves_generated,moves_evaluated,moves_skipped_validity,moves_skipped_tabu,shakes,solver_time_sec,candidate_pairs,selected_arcs,applied_arcs,total_reduction,frvcp_calls,frvcp_total_time_sec,frvcp_avg_time_ms,error,experiment
tc0c10s2cf1.xml,10,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,19.753119074674373,3,100,42082,29722,12360,153,4,2.744077682495117,45,8,8,11589.872467622405,,,,,omega_sensitivity
tc0c10s2cf1.xml,10,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,19.716520376247203,3,100,42092,29641,12451,116,4,2.715960741043091,45,18,18,31757.44554003397,,,,,omega_sensitivity
tc0c10s2cf1.xml,10,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,19.716520376247203,3,100,42092,29641,12451,116,4,2.707777976989746,45,26,26,53043.78334247616,,,,,omega_sensitivity
tc0c10s2ct1.xml,10,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.258596908847013,2,100,40434,19251,21183,198,4,2.504754066467285,45,8,8,20735.122315976227,,,,,omega_sensitivity
tc0c10s2ct1.xml,10,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.258596908847013,2,100,40434,19251,21183,198,4,2.487643003463745,45,18,18,47980.95826603889,,,,,omega_sensitivity
tc0c10s2ct1.xml,10,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,12.258596908847013,2,100,40434,19251,21183,198,4,2.50308895111084,45,26,26,75297.66337548791,,,,,omega_sensitivity
tc0c10s3cf1.xml,10,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,19.703968452782,3,100,42090,29788,12302,90,4,2.838830947875977,45,8,8,18446.273727771026,,,,,omega_sensitivity
tc0c10s3cf1.xml,10,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,19.703968452782,3,100,42090,29788,12302,90,4,2.8391432762146,45,18,18,40813.6032861306,,,,,omega_sensitivity
tc0c10s3cf1.xml,10,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,19.66736975435483,3,100,42082,29685,12397,130,4,2.824249744415283,45,26,26,55224.85368465869,,,,,omega_sensitivity
tc0c10s3ct1.xml,10,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.764164533801504,2,100,40426,19112,21314,588,4,2.6550300121307373,45,8,8,21444.46053604474,,,,,omega_sensitivity
tc0c10s3ct1.xml,10,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.764164533801504,2,100,40424,18990,21434,698,4,2.6690878868103027,45,18,18,49643.36806410813,,,,,omega_sensitivity
tc0c10s3ct1.xml,10,0.3,30%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,10.764164533801504,2,100,40424,18990,21434,699,4,2.6766982078552246,45,26,26,65827.3363414062,,,,,omega_sensitivity
tc1c10s2cf2.xml,10,0.1,10%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.986733062142905,3,100,41089,24716,16373,537,4,3.3416881561279297,45,8,8,22560.25994048683,,,,,omega_sensitivity
tc1c10s2cf2.xml,10,0.2,20%,0.3,20240528,20240528,5,100,20,20,1,0,0.9,False,True,8.986733062142905,3,100,41064,24645,16419,651,4,3.426558017730713,45,18,18,43380.13286488927,,,,,omega_sensitivity
